NameLen,Style,Price,Cancellation,Stars,Reviews,Superhost,Guests,Bedrooms,Beds,Baths,DescLen,Amenities,Latitude,Longitude,PlazaDist,CanyonRdDist,CapitolDist,OperaDist,AirportDist
43,entire condominium,154,0,4.5,2,0,4,2,3,2,340,12,35.68795,-105.93688,0.119008009,0.776124405,0.436797492,5.306902212,11.6320537
44,entire house,110,0,5,28,1,4,2,2,1,492,42,35.68669,-105.95508,1.146631427,1.923802289,1.106355271,5.376815023,10.46293384
50,entire loft,74,1,4.5,2,0,2,1,1,1,460,15,35.67155,-105.95917,1.801923165,2.275604877,1.538425402,6.450121687,9.763511204
33,entire guesthouse,135,0,5,12,1,2,1,1,1,404,35,35.69268,-105.94403,0.526446638,1.368861598,0.777972229,4.937622804,11.33221068
15,entire condominium,90,1,4.5,18,0,2,1,1,1,368,7,35.68672,-105.94784,0.646551021,1.435887106,0.640713468,5.345927936,10.91113805
26,entire condominium,88,1,5,18,0,4,1,2,1,374,26,35.69029,-105.93145,0.527544783,0.666034717,0.794432515,5.210890987,12.04090351
27,entire apartment,83,1,5,78,1,2,1,1,1,264,30,35.68659,-105.96205,1.628653969,2.397805635,1.574216431,5.454864887,10.03379158
29,entire apartment,101,0,4.5,34,0,2,0,1,1,280,34,35.67946,-105.94448,0.688400425,1.162990638,0.384598808,5.850398303,10.9125555
45,entire guesthouse,83,1,5,42,1,4,1,2,1,367,37,35.70688,-105.94797,1.495787522,2.249428287,1.793902572,3.951674311,11.58573176
49,entire house,380,0,5,18,0,4,2,2,2,220,20,35.67931,-105.92259,1.236804838,0.386606417,1.201468458,6.096657076,12.31478755
34,entire house,133,1,5,176,1,4,1,4,1,250,45,35.6822,-105.94024,0.380831282,0.86384492,0.037987963,5.677558205,11.2569804
49,entire house,163,0,5,10,0,4,1,2,1.5,458,36,35.68125,-105.9246,1.053502958,0.220038785,1.047019391,5.929990334,12.2325219
27,entire guesthouse,104,0,5,8,0,2,0,1,1,160,22,35.6758,-105.94582,0.949817202,1.306510007,0.617549083,6.101516379,10.72929643
35,entire house,124,0,4.5,38,1,4,0,1,1,621,19,35.68876,-105.92727,0.783604279,0.511076258,0.96899208,5.380465886,12.26084026
49,entire villa,122,1,5,19,1,2,1,1,1,70,10,35.69326,-105.90384,2.432545574,1.848263006,2.593775865,5.732073416,13.87422419
25,entire house,89,1,5,35,1,2,1,1,1,418,27,35.7039,-105.91874,1.780435817,1.677945862,2.081929658,4.593894534,13.24294847
50,entire condominium,131,1,5,62,1,3,1,2,1,497,30,35.68523,-105.92834,0.720426961,0.268518585,0.811510209,5.599475964,12.09612148
32,entire house,85,1,5,41,0,2,0,1,1,243,19,35.67743,-105.91402,1.830445875,0.990286619,1.807996903,6.408047674,12.82923054
29,entire guesthouse,144,1,5,61,1,2,1,1,1,464,31,35.6819,-105.93236,0.572610897,0.318911015,0.508475839,5.76860457,11.75081972
39,entire house,119,0,5,3,1,3,1,1,1,334,17,35.68948,-105.9487,0.718306841,1.551665905,0.796386942,5.156038564,10.94363391
35,entire house,118,1,5,81,1,3,1,2,1,282,31,35.67672,-105.91577,1.739323854,0.891196395,1.699691732,6.412177727,12.69879431
