COAST,temp,weekday,date,hour
10859.0231,23.1,1,6/1/10,9
11750.15184,23.1,1,6/1/10,10
12645.00556,23.1,1,6/1/10,11
13422.53047,26.1,1,6/1/10,12
14135.8331,27.1,1,6/1/10,13
14800.21429,28.1,1,6/1/10,14
15307.33522,29.1,1,6/1/10,15
15693.68363,32.1,1,6/1/10,16
15854.37622,32.1,1,6/1/10,17
15684.83647,33.1,1,6/1/10,18
11102.75022,24.1,1,6/2/10,9
12030.36546,23.1,1,6/2/10,10
12896.24636,24.1,1,6/2/10,11
13719.10135,25.1,1,6/2/10,12
14483.91543,28.1,1,6/2/10,13
15138.51891,28.1,1,6/2/10,14
15462.2369,31.1,1,6/2/10,15
15409.48915,31.1,1,6/2/10,16
15196.77893,32.1,1,6/2/10,17
14759.31044,32.1,1,6/2/10,18
9922.188651,21.85,1,6/3/10,9
10437.65538,22.1,1,6/3/10,10
10973.10561,22.1,1,6/3/10,11
11412.20145,22.1,1,6/3/10,12
11680.78763,22.6,1,6/3/10,13
11828.74358,23.1,1,6/3/10,14
11924.56003,24.1,1,6/3/10,15
12021.94669,25.6,1,6/3/10,16
11970.67236,27.1,1,6/3/10,17
11855.19425,26.1,1,6/3/10,18
9806.93946,22.1,1,6/4/10,9
10493.33327,22.1,1,6/4/10,10
11175.37841,22.1,1,6/4/10,11
11908.33808,22.1,1,6/4/10,12
12552.66658,23.1,1,6/4/10,13
13204.61343,24.1,1,6/4/10,14
13780.87734,25.6,1,6/4/10,15
14255.50875,28.1,1,6/4/10,16
14511.11346,30.1,1,6/4/10,17
14403.58675,31.1,1,6/4/10,18
10048.9816,24.1,0,6/5/10,9
11128.78197,24.1,0,6/5/10,10
12203.09987,24.1,0,6/5/10,11
13111.45362,25.1,0,6/5/10,12
13817.61633,27.1,0,6/5/10,13
14323.18692,28.1,0,6/5/10,14
14591.92603,30.1,0,6/5/10,15
14686.57596,31.1,0,6/5/10,16
14633.25054,32.1,0,6/5/10,17
14301.299,32.1,0,6/5/10,18
10022.32468,27.1,0,6/6/10,9
11065.15266,27.1,0,6/6/10,10
12259.34938,26.6,0,6/6/10,11
13313.27256,27.1,0,6/6/10,12
14209.5832,28.1,0,6/6/10,13
14781.41465,30.1,0,6/6/10,14
15122.96591,31.1,0,6/6/10,15
15286.56772,32.1,0,6/6/10,16
15184.25693,32.1,0,6/6/10,17
14556.26355,33.1,0,6/6/10,18
11312.59362,26.1,1,6/7/10,9
12004.65489,26.6,1,6/7/10,10
12702.68724,26.35,1,6/7/10,11
13167.41675,27.1,1,6/7/10,12
13649.33534,28.1,1,6/7/10,13
13984.58211,28.6,1,6/7/10,14
14019.22571,28.6,1,6/7/10,15
14013.86237,27.1,1,6/7/10,16
14132.37644,30.1,1,6/7/10,17
14257.03203,29.1,1,6/7/10,18
11181.08933,26.1,1,6/8/10,9
11903.69385,25.1,1,6/8/10,10
12378.77535,26.1,1,6/8/10,11
12149.07012,27.1,1,6/8/10,12
12114.03577,28.1,1,6/8/10,13
