Quantity,InvoiceDate
6,12/1/2010 8:26
6,12/1/2010 8:26
8,12/1/2010 8:26
6,12/1/2010 8:26
6,12/1/2010 8:26
2,12/1/2010 8:26
6,12/1/2010 8:26
6,12/1/2010 8:28
6,12/1/2010 8:28
32,12/1/2010 8:34
6,12/1/2010 8:34
6,12/1/2010 8:34
8,12/1/2010 8:34
6,12/1/2010 8:34
6,12/1/2010 8:34
3,12/1/2010 8:34
2,12/1/2010 8:34
3,12/1/2010 8:34
3,12/1/2010 8:34
4,12/1/2010 8:34
4,12/1/2010 8:34
6,12/1/2010 8:34
3,12/1/2010 8:34
3,12/1/2010 8:34
3,12/1/2010 8:34
3,12/1/2010 8:35
24,12/1/2010 8:45
24,12/1/2010 8:45
12,12/1/2010 8:45
12,12/1/2010 8:45
24,12/1/2010 8:45
48,12/1/2010 8:45
24,12/1/2010 8:45
18,12/1/2010 8:45
24,12/1/2010 8:45
24,12/1/2010 8:45
24,12/1/2010 8:45
24,12/1/2010 8:45
20,12/1/2010 8:45
24,12/1/2010 8:45
24,12/1/2010 8:45
12,12/1/2010 8:45
24,12/1/2010 8:45
24,12/1/2010 8:45
36,12/1/2010 8:45
3,12/1/2010 8:45
80,12/1/2010 9:00
6,12/1/2010 9:01
6,12/1/2010 9:01
6,12/1/2010 9:02
6,12/1/2010 9:02
8,12/1/2010 9:02
6,12/1/2010 9:02
6,12/1/2010 9:02
6,12/1/2010 9:02
6,12/1/2010 9:02
6,12/1/2010 9:02
2,12/1/2010 9:02
4,12/1/2010 9:02
6,12/1/2010 9:02
6,12/1/2010 9:02
6,12/1/2010 9:02
6,12/1/2010 9:02
2,12/1/2010 9:02
6,12/1/2010 9:02
32,12/1/2010 9:09
6,12/1/2010 9:32
6,12/1/2010 9:32
8,12/1/2010 9:32
6,12/1/2010 9:32
6,12/1/2010 9:32
6,12/1/2010 9:32
6,12/1/2010 9:32
6,12/1/2010 9:32
2,12/1/2010 9:32
4,12/1/2010 9:32
6,12/1/2010 9:32
6,12/1/2010 9:32
6,12/1/2010 9:32
6,12/1/2010 9:32
2,12/1/2010 9:32
6,12/1/2010 9:32
48,12/1/2010 9:32
64,12/1/2010 9:32
6,12/1/2010 9:34
6,12/1/2010 9:34
10,12/1/2010 9:37
10,12/1/2010 9:37
10,12/1/2010 9:37
10,12/1/2010 9:37
12,12/1/2010 9:37
6,12/1/2010 9:37
12,12/1/2010 9:37
10,12/1/2010 9:37
6,12/1/2010 9:37
6,12/1/2010 9:37
120,12/1/2010 9:37
24,12/1/2010 9:37
24,12/1/2010 9:37
24,12/1/2010 9:37
6,12/1/2010 9:37
48,12/1/2010 9:37
96,12/1/2010 9:37
10,12/1/2010 9:37
10,12/1/2010 9:37
24,12/1/2010 9:41
23,12/1/2010 9:41
5,12/1/2010 9:41
10,12/1/2010 9:41
2,12/1/2010 9:41
6,12/1/2010 9:41
24,12/1/2010 9:41
24,12/1/2010 9:41
1,12/1/2010 9:41
1,12/1/2010 9:41
1,12/1/2010 9:41
10,12/1/2010 9:41
3,12/1/2010 9:41
1,12/1/2010 9:41
2,12/1/2010 9:41
1,12/1/2010 9:41
1,12/1/2010 9:41
4,12/1/2010 9:41
1,12/1/2010 9:41
6,12/1/2010 9:41
3,12/1/2010 9:41
2,12/1/2010 9:41
1,12/1/2010 9:41
1,12/1/2010 9:41
1,12/1/2010 9:41
1,12/1/2010 9:41
2,12/1/2010 9:41
2,12/1/2010 9:41
2,12/1/2010 9:41
4,12/1/2010 9:41
1,12/1/2010 9:41
1,12/1/2010 9:41
2,12/1/2010 9:41
3,12/1/2010 9:41
36,12/1/2010 9:41
10,12/1/2010 9:41
-1,12/1/2010 9:41
12,12/1/2010 9:45
8,12/1/2010 9:45
12,12/1/2010 9:45
10,12/1/2010 9:45
10,12/1/2010 9:45
50,12/1/2010 9:45
8,12/1/2010 9:45
4,12/1/2010 9:45
12,12/1/2010 9:45
2,12/1/2010 9:45
2,12/1/2010 9:45
4,12/1/2010 9:45
-1,12/1/2010 9:49
3,12/1/2010 9:53
48,12/1/2010 9:53
12,12/1/2010 9:53
6,12/1/2010 9:53
12,12/1/2010 9:53
40,12/1/2010 9:53
40,12/1/2010 9:53
6,12/1/2010 9:53
2,12/1/2010 9:53
4,12/1/2010 9:53
3,12/1/2010 9:53
6,12/1/2010 9:53
8,12/1/2010 9:53
1,12/1/2010 9:56
12,12/1/2010 9:56
6,12/1/2010 9:56
10,12/1/2010 9:56
12,12/1/2010 9:56
2,12/1/2010 9:56
10,12/1/2010 9:56
36,12/1/2010 9:57
100,12/1/2010 9:57
100,12/1/2010 9:57
192,12/1/2010 9:58
192,12/1/2010 9:58
192,12/1/2010 9:58
432,12/1/2010 9:58
432,12/1/2010 9:58
3,12/1/2010 9:59
3,12/1/2010 9:59
2,12/1/2010 9:59
3,12/1/2010 9:59
3,12/1/2010 9:59
6,12/1/2010 9:59
12,12/1/2010 9:59
12,12/1/2010 9:59
12,12/1/2010 9:59
12,12/1/2010 9:59
12,12/1/2010 9:59
4,12/1/2010 9:59
12,12/1/2010 9:59
12,12/1/2010 9:59
6,12/1/2010 10:03
8,12/1/2010 10:03
12,12/1/2010 10:03
6,12/1/2010 10:03
4,12/1/2010 10:03
6,12/1/2010 10:03
3,12/1/2010 10:03
2,12/1/2010 10:03
4,12/1/2010 10:03
4,12/1/2010 10:03
2,12/1/2010 10:03
2,12/1/2010 10:03
24,12/1/2010 10:03
24,12/1/2010 10:03
2,12/1/2010 10:19
12,12/1/2010 10:19
12,12/1/2010 10:19
48,12/1/2010 10:19
48,12/1/2010 10:19
8,12/1/2010 10:19
144,12/1/2010 10:19
40,12/1/2010 10:19
288,12/1/2010 10:19
64,12/1/2010 10:19
100,12/1/2010 10:19
50,12/1/2010 10:19
12,12/1/2010 10:19
96,12/1/2010 10:19
96,12/1/2010 10:19
48,12/1/2010 10:19
144,12/1/2010 10:19
40,12/1/2010 10:19
24,12/1/2010 10:19
24,12/1/2010 10:19
24,12/1/2010 10:19
48,12/1/2010 10:19
96,12/1/2010 10:19
100,12/1/2010 10:19
-12,12/1/2010 10:24
-24,12/1/2010 10:24
-24,12/1/2010 10:24
-24,12/1/2010 10:24
-12,12/1/2010 10:24
-12,12/1/2010 10:24
-24,12/1/2010 10:24
6,12/1/2010 10:29
4,12/1/2010 10:29
12,12/1/2010 10:29
12,12/1/2010 10:29
1,12/1/2010 10:29
12,12/1/2010 10:29
12,12/1/2010 10:29
4,12/1/2010 10:29
16,12/1/2010 10:29
24,12/1/2010 10:29
8,12/1/2010 10:37
24,12/1/2010 10:39
96,12/1/2010 10:39
96,12/1/2010 10:39
96,12/1/2010 10:39
96,12/1/2010 10:39
12,12/1/2010 10:39
12,12/1/2010 10:39
