Date,Sales
1/1/2020,266
2/1/2020,145.9
3/1/2020,183.1
4/1/2020,119.3
5/1/2020,180.3
6/1/2020,168.5
7/1/2020,231.8
8/1/2020,224.5
9/1/2020,192.8
10/1/2020,122.9
11/1/2020,336.5
12/1/2020,185.9
13/1/2020,194.3
14/1/2020,149.5
15/1/2020,210.1
16/1/2020,273.3
17/1/2020,191.4
18/1/2020,287
19/1/2020,226
20/1/2020,303.6
21/1/2020,289.9
22/1/2020,421.6
23/1/2020,264.5
24/1/2020,342.3
25/1/2020,339.7
26/1/2020,440.4
27/1/2020,315.9
28/1/2020,439.3
29/1/2020,401.3
30/1/2020,437.4
31/1/2020,575.5
1/2/2020,407.6
2/2/2020,682
3/2/2020,475.3
4/2/2020,581.3
5/2/2020,646.9
